coin_name,kyc_or_not,audit_or_not,description,current_presale,soft_cap,hard_cap,currency,private_sale_start_time_(UTC),private_sale_end_time_(UTC),date_last_updated,first_release_for_project,vesting_for_project,status,minimum_buy,maximum_buy,website_link
 NXN Network - Presale Stage 1 - Round 1 , No , No ," NXN Network- the next gen mining platform inspired by Bitcoin + DeFi. NXN aims to build the next big crypto community of the likes of ADA XRP DOGE. $1 = 10,000 NXN. Please read our documentation for all official information on price, vesting periods and futures rounds- https://docs.nxn.network/documentation/how-to-buy ✅Testnet Launched ✅Reserve Now = Shorter Mint ✅Disinflationary Tokenomics ✅Utility NFT Burn ✅Multiple Burn Systems ✅Join the DeFi revolution ",315 ," 5,000 "," 10,000 ", USDT , 2023.08.12 20:15 , 2023.09.01 10:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,5.0," 1,000 ", https://nxn.network/
 Fantasy Girl Protocol (FGL) Token Presale , No , No , Fantasy Girl Protocol will be primarily engaging in NFTs ✨ fantasy games ✨ social media & influencer marketing✨ and AI tools.✨Native token will be FGL. ✨Multi chain advantage BSC and XRPL.Only 50K Total supply of FGL token on BSC.AirDrop of 25K FGL token on XRPL.✨CeX listings finalized for August/September.✨Staking FGL token to gain revenue based profits.✨Join the artificial intelligence project that will be biggest gainer in blockchain space.✨ Invest and join the project that rewards it's investors✨ ,1.543685161313196585 , 60 , 120 , BNB , 2023.07.30 23:59 , 2023.08.04 23:59 , 2023-09-14 , 80% , 10% each 45 days , canceled ,0.025, 10 , https://fantasygirlprotocol.tech/
 Ozone Chain (OZO) Private Sale , No , No ," Ozone Chain (OZO) is Quantum Resistant Blockchain. ✅Mainnet launched. Bitmart & MEXC listing in August. ✅Distribution will be in Ozone Network @ 1OZO= 0.20 USDT ✅Gain Stake points for 1 Million USD worth BabyOZO Airdrop. ✅Invest in our Blockchain & gain free tokens of Minimum 10 upcoming incubated project & NFTs of upcoming 10 NFT projects. ✅ Lobsterswap.com Dex integrated.✅Integration with avedex (ave.ai) in progress. ✅Join the Blockchain project that pays back it's investors. ✅25,000 users & 43,000 txns. ","50,000 "," 25,000 "," 50,000 ", USDT , 2023.07.26 12:00 , 2023.07.28 12:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,100.0," 5,000 ", https://ozonechain.io/
 wallstreet pepe , No , No ," ""Wall Street Pepe"" alludes to the most famous financial district in the world, located in New York. This name suggests the intention of the meme coin to mock traditional financial institutions and to question the seriousness and rigidity of the traditional economic system. Furthermore, this choice also implies that the coin is destined for speculation similar to what is often associated with the financial market on Wall Street. ",0.3 , 7 , 14 , BNB , 2023.07.19 20:00 , 2023.09.19 21:51 , 2023-09-14 , 55% , 40% each 5 days , inprogress ,0.1, 2 , http://www.walstpepe.com/
 Pepito Grillo ( Jiminy Cricket ) , No , No ," Unlike other cryptocurrencies, Jiminy Cricket is a unique spirit and vibrant personality. Jiminy Grillo's story began when a group of programmers and technology enthusiasts came together to create a cryptocurrency that was not only a financial tool, but also carried a message of awareness and responsibility towards the environment. These developers wanted to prove that blockchain technology and cryptocurrencies could be used for the well-being of everyone, including the planet. ",2 , 1 , 2 , BNB , 2023.07.19 21:00 , 2023.09.19 20:03 , 2023-09-14 , 70% , 30% each 15 days , filled ,0.1, 5 , http://www.pepitogrillo.org/
 Chotu Dragon , No , No , 🚀🔒 Welcome to CHOTU THE DRAGON 🔒100% Secure | 🔐 SAFE | ✅ KYC | 🛡 Audit | 10% bonus for early investors | A token sale designed to reward our early supporters | CMC & CEX Listing | An exciting marketing plan to propel CHOTU THE DRAGON to new heights! 🚀 ,0 , 70 , 140 , BNB , 2023.07.13 20:00 , 2023.07.16 10:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.1, 10 , https://chotudragon.com/
 Presale Jonko-Finance , No , No ," This is the presale of jonko finance, please be responsible for your own actions. Our team cannot be hold responsible for any of your own actions. Enjoy our presale and help us to build up our project. ",0 , 100 , 200 , BNB , 2023.07.03 19:37 , 2023.07.10 19:38 , 2023-09-14 , 40% , 1% each 7 days , ended ,0.1, 3 , https://jonko-finance.com/
 MEOW SPEED - Exclusive Private Sale , No , No ," 🔥Join the first AA+ cat-themed GameFi project🔥with top-notch graphics🖼 and unique Socialize-to-Earn🌎 Witness AI-powered gaming, in-house marketplace, and exclusive NFTs that are stirring the crypto world.💰Snap up $MWSP at only $0.00009 during the Private Sale - 💰Listing price of $0.000110 😻 Massive Marketing Pre & Post Launch 😽 Well Known Shill Group 24/7 🙀 Dextools Trending 😽 CMC Trending 😺 Twitter Trending! 😻 Cex Listings ✅🚀 ",0.209417983 , 15 , 30 , BNB , 2023.06.28 15:15 , 2023.07.01 23:59 , 2023-09-14 , 70% , 5% each 1 days , canceled ,0.1, 3 , https://meowspeed.com/
" 🧀 Unleash the Power of ""Tom & Jerry"" Coin! The Legendary Coin🔴🐭🐱 ", No , No ," 🔥Tom & Jerry Coin! 🔥 100% Fireproof | 🔐 SAFU | ✅ KYC | 🛡 AUDIT | 10% private sale bonus | Supported by 26 Tom & Jerry meme influencers, 4.7m Followers in Total. Huge Marketing Plan! 🤩 Ignite the crypto world with us! 🔥🚀 ",0.5 , 100 , 150 , BNB , 2023.06.23 16:30 , 2023.06.30 15:17 , 2023-09-14 , 90% , 10% each 1 days , ended ,0.5, 10 , https://sites.google.com/view/tomandjerrycoin/home
 RYDESWAP , No , No ," RydeSwap is a decentralized finance (DeFi) platform that offers a wide range of features to help you grow your wealth. It aims to empower users to seamlessly swap a wide range of tokens with low transaction fees while providing a robust staking program for passive income generation. Our platform is designed to offer a comprehensive ecosystem of blockchain-based solutions, including Rydepad, RydeWallet, Rydebot, RydeSwap Insurance, RydeNFT marketplace and DAO...Join us to Explore the World of Possibilities. ",245 ," 25,000 "," 45,000 ", USDT , 2023.06.23 18:00 , 2023.06.30 18:00 , 2023-09-14 , 95% , 5% each 15 days , ended ,25.0, 500 , https://rydeswap.org/
 Secure Netra , Yes , No ," 🔒🌐 Welcome to SecureNetra, the ultimate fortress of blockchain cybersecurity! Don't miss out on this exclusive opportunity to join our passionate community of tech and blockchain enthusiasts. SecureNetra warmly invites you to experience the cutting-edge security solutions firsthand! | 🔒100% Secure | 🔐 SAFE | ✅ KYC | 🛡 Audit | 10% bonus for early investors | Our way of showing gratitude to our early supporters | CMC & CEX Listing | Exciting Marketing Plan🚀 ",2.2199275 , 25 , 50 , BNB , 2023.06.26 12:00 , 2023.07.10 12:00 , 2023-09-14 , 90% , 10% each 1 days , ended ,0.1, 4 , https://www.securenetra.com/
 Bitcoin Classic , No , No ," BTCC is designed for investors in the cryptocurrency market who are looking to make their cryptocurrency work just like any other form of capital, such that they can ensure a return on investment in any market. Our goal at BTCC is to make you the digital bank.ou will both use decentralized finance advantages and fintech solutions via our digital banking app. Also we will be listed on MEXC.io after this private sale finishes. So do not miss this chance. Meet with revolutionary Bitcoin with BTCC. ",0.5 , 100 , 200 , BNB , 2023.06.15 21:00 , 2023.07.13 21:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.25, 3 , https://btcclassic.io/?fbclid=PAAaYQFe-XAt6jw9tEmccrFb4MY4VNzl611JsIZtR13Zb0fj0bA7IKct5X4WA_aem_th_Af1GmfegyRKGMNHF9KM_Fcw8VotHWRC-j2jF-i2Cglg5zdv_N_FkDTIV_MpFZXOtVgY
 LOLITA COIN , No , No ," Welcome to Lolita Coin - The Seductive Meme Cryptocurrency! Lolita Coin is an enchanting meme cryptocurrency that merges the realms of desire and blockchain technology. Crafted to captivate, Lolita Coin aims to provide a seductive and unforgettable experience for crypto enthusiasts. Our mission is to ignite passion, spark imagination, and unleash the irresistible charm of the crypto world. ",1.790255689130578246 , 150 , 200 , BNB , 2023.06.16 08:21 , 2023.07.16 18:22 , 2023-09-14 , 50% , 10% each 7 days , canceled ,0.01, 5 , https://www.lolitacoin.org/
 Welcome to EBurn Presale ! , No , No ," EBurn is an innovative crypto project that focuses on transparency and security. Through its revolutionary burning system and by fostering a more responsible community, EBurn brings a fresh approach to the world of cryptocurrencies, ensuring clear visibility of transactions and reducing the total coin supply to support long-term value growth. ",2.825208935005355591 , 25 , 50 , BNB , 2023.06.13 15:00 , 2023.06.20 12:30 , 2023-09-14 , 25% , 25% each 30 days , ended ,0.1, 5 , https://eburn.io/
 Frenzay Private Sale - Stage 1 , No , No , 🚀 Don't miss the opportunity of a lifetime! Join Frenzay's Stage 1 Private Sale and secure your share of 2 million tokens at an incredible price of just $0.03 USD each from our total 20 million tokens pool for private sales. This is your chance to be part of the Frenzay revolution from the very beginning! Act fast as later stages will have higher prices. Don't wait! Grab your tokens now and ride the wave to success! 💥💰🌊 ,0.278970854 , 200 , 255 , BNB , 2023.06.12 15:00 , 2023.06.19 15:00 , 2023-09-14 , 50% , 10% each 7 days , canceled ,0.25, 10 , https://token.frenzay.com/
 Flash 3.0 - Private sale (Pinksale Exclusive) , No , No ," FLASH TECHNOLOGIES'⚡️goal is to give users financial freedom by helping them to convert their CASH (bank notes & coins💸) into CRYPTO via partner stores🏦. The partnership with BINANCE🔏 makes it available worldwide through an onramp solution. 🌉 The Token FLASH 3.0 is audited by CERTIK✅. Thanks to the ⚡️partners and backers⚡️like Binance, Certik, BNB-chain, Synaps, Osborne Clarke, Chainalysis, JP Morgan, Pinksale and IcoHolder🔥 the project is going to unveil the whole ecosystem made of various products. ",2 , 75 , 150 , BNB , 2023.06.09 03:00 , 2023.06.14 23:59 , 2023-09-14 , 95% , 5% each 1 days , canceled ,2.0, 38 , https://flash-technologies.org/
 champion pepe private sale , No , No , champion pepe is created to both soccer and crypto enthusiast it is a huge project with great potential to succeed so what makes our project different from any other token ? in fact champion pepe token has many good points to be a good investment 1-meme and soccer driven community 2-will be supported by online stores 3-low total token supply of 100000000000 in comparison with all meme tokens what are waiting for be an early investor and support our token to get maximum gains ,0.5 , 25 , 50 , BNB , 2023.06.06 10:30 , 2023.06.12 10:30 , 2023-09-14 , 25% , 20% each 14 days , canceled ,0.1, 1 , https://championpepe.com/
 FarmGrid Private Sale(Early Access) , Yes , No ," FarmGrid uses blockchain to improve African agriculture and promote One Health. Achievements include animal vaccination, educating farmers and agro extension workers on antibiotic use. FarmGrid develops a Decentralised CrowdFunding Portal, Farming RPG Games, and Farm-to-Store Tracking System for WHO One Health compliant products. [Sale ended, please follow our telegram community for updates] ",2.8675145108 , 100 , 200 , BNB , 2023.06.09 09:01 , 2023.06.30 21:50 , 2023-09-14 , 50% , 10% each 5 days , canceled ,0.05, 10 , https://grid.farmgrid.org/
 Private sale of Ninja Turtles Token . stage 1 , No , No ," The project offers a unique service token - Ninja Turtles Token (NJT) and a set of interchangeable tokens (NFT) that reward users for their physical activity and commitment to a healthy lifestyle and not only, but also many more interesting things, collaborations with other fundamental projects that will allow you to participate in the fashion industry, and receive a unique luxury clothing from the Brand Brela Moon. ",0 , 151 , 300 , BNB , 2023.06.01 17:00 , 2023.06.10 23:00 , 2023-09-14 , 40% , 8% each 30 days , canceled ,0.1, 3 , https://ninjaturtles.io/
 Happy Monkey Token - Private Sale , No , No ," Enter the Happy Monkey Club, a thriving universe underpinned by HMT, our digital lifeblood. Be a part of our interactive, evolving world teeming with captivating games and bound by community spirit. Seize your once-in-a-lifetime chance at the first pre-sale, HMT at 1BNB=1B HMT. Don’t just observe, participate in this grand adventure, shaping our collective narrative. In the world of Happy Monkey Club, it’s your game, your rules, your adventure. Your token. Grab your HMT now and write this tale with us. ",0.277846123011318145 , 98 , 196 , BNB , 2023.05.31 16:00 , 2023.06.08 16:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.01, 196 , https://happy-monkey.org/
 AI GIRL PreSale Launch , No , No ," Let's talk about dreaming big for a moment. Have you ever wondered what it would be like if you could unleash your full potential and make your wildest dreams come true? The truth is, it's time to take control of your future and make a change. Say hello to the glamorous future waiting for you with the $AIGRL token created by the AI Girl. It's not simply a concept, it's a new chapter waiting to be written. Dare to dream and join AI Girl today. Don't wait for tomorrow and let's make your dreams a reality! 💫 ",0 , 81 , 160 , BNB , 2023.06.01 14:00 , 2023.06.09 22:22 , 2023-09-14 , 40% , 10% each 5 days , canceled ,0.01, 6.4 , https://aigirl.website/
 Die Pepe , No , No ," Die Pepe will be the first actual incentivized ""Pepe"" DeFi ecosystem with zero fees built to put an end to the Pepe fakes. We will offer actual utility to holders by implementing our own native staking service as well as our native farming protocol to further increase your staking APR. Sadly, to accomplish this... PEPE MUST DIE! Update: We have just launched (5/28/23) our NFT marketplace well ahead of schedule to provide utility to the platform while the sale occurs. We also head word of a possible DAO? ",0.28947235 , 5 , 10 , BNB , 2023.06.01 18:00 , 2023.06.07 18:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.01, 2 , https://diepepe.com/
 Burning Pepe - Private Sale , Yes , No , 🐸🔥 Welcome to the hottest Pepe right now! Don't miss out on this exclusive opportunity to join a passionate community of fire and crypto enthusiasts. Burning Pepe warmly welcomes you to experience the burning brilliance firsthand ! | 🔥100% Fireproof | 🔐 SAFU | ✅ KYC | 🛡AUDIT | 10% private sale bonus | This is our way of giving back to our community for those that got in early | Huge Marketing Plan🤩 | ,20 , 10 , 20 , BNB , 2023.05.29 15:30 , 2023.06.01 15:30 , 2023-09-14 , 90% , 10% each 1 days , ended ,0.1, 1 , https://burningpepe.com/
 Project BloodFin Private Sale Round 2 , No , No ," This is the official Project BloodFin Private Sale Round 2 on BSC. This is our way of giving back to our community for those that got in early. This is your only opportunity to get $FIN tokens at this rate. Private Sale Tokens will be airdropped before launch on PancakeSwap. Listed on CMC. ✅ Private Sale Rate: 0.25BNB = 50,000,000 $FIN | 0.5BNB = 100,000,000 $FIN 0.75BNB = 150,000,000 $FIN | 1 BNB = 200,000,000 $FIN. ",10 , 5 , 10 , BNB , 2023.05.25 08:00 , 2023.05.25 20:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.25, 1 , https://projectbloodfin.com/
 Project BloodFin Private Sale Round , No , No ," This is the official Project BloodFin Private Sale Round on BSC. This is our way of giving back to our community for those that got in early. This is your only opportunity to get $FIN tokens at this rate. Private Sale Tokens will be airdropped before launch on PancakeSwap. Listed on CMC. ✅ Private Sale Rate: 0.25BNB = 50,000,000 $FIN | 0.5BNB = 100,000,000 $FIN 0.75BNB = 150,000,000 $FIN | 1 BNB = 200,000,000 $FIN. ",10 , 5 , 10 , BNB , 2023.05.24 20:00 , 2023.05.25 08:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.25, 1 , https://projectbloodfin.com/
 Argolands , No , No ," Introducing Argo - the future of stablecoin. Unlike other cryptocurrencies, Argo is pegged to real lands, representing the true value of nature and property. With Argo's protection, each Argo token represents a square meter of secure land, ensuring stability and ethical investment opportunities. Whether you're a sustainable investor or an advocate for the environment and ethical business practices, Argo is the solution you've been waiting for. ",46.703531120670522021 , 130 , 230 , BNB , 2023.05.21 08:00 , 2023.05.24 08:00 , 2023-09-14 , 90% , 10% each 7 days , canceled ,0.32, 40 , https://www.argolands.net/
 HKB public , No , No , 现在开始对接散户额度，请到电报群组联系审核员，一对一对接，对接成功每天晚上12点左右提交白名单，中午12点钱没购买的剔除白名单，公开额度到25号结束，https://t.me/HKBbank。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。 ,"122,591.05721749298 "," 120,000 "," 210,000 ", USDT , 2023.05.18 13:00 , 2023.05.25 13:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,200.0, 300 , https://hkswap.com/
 Tom - King of memecoins , No , No ," Tom sees too many memecoins on the market. It’s time for Tom to rise up to rule them all and become the king of memecoins. Tom is not too good compared to other competitors. But Tom is immortal, And so as Tom Token, It is the immortal memecoins. Tom Token will lead poor investors to become rich. This is an opportunity for investors to escape poverty. Do not hesitate to not buy and hold Tom from on now. ",0 , 500 ," 1,000 ", BNB , 2023.05.15 07:00 , 2023.05.18 07:00 , 2023-09-14 , 40% , 20% each 3 days , canceled ,0.1, 50 , https://tomtoken.vip/
 PEPEGOLD , No , No , 🐸 PEPE GOLD hu mashrue mubtakar yajmae ealam altashfir waldhaka' aliastinaeii waqiadat al'aemali. nahn 'awal ramz PEPE mudaqaq min Certik mae AI walrayiys altanfidhii 🔥Telegram AI Chat Bot Live ✅KYC + Audit + SAFU + Doxx ✅CG & CMC Fast track 🔥50% Token tama harquh bialfiela. ✅ daribat munkhafidat 1/2% tanazul ean aleaqd eind al'iitlaq 🔥 qayimat altijarat ✅ mukalamat qanaat almustawaa al'aelaa + AMAs ✅ taswiq dakhm murajaeat Certik: https://skynet.certik.com/projects/pepe-ai-ceo ,0 , 10 , 20 , BNB , 2023.05.11 04:20 , 2023.05.14 04:20 , 2023-09-14 , 40% , 20% each 10 days , canceled ,0.05, 20 , https://pepe.gold/
 VAST Coin Private Sale , Yes , No ," Join the exclusive VAST Token Private Sale, an early investment opportunity in the future of affordable real estate. VAST's revolutionary platform enables all to invest in managed properties. Secure a part of this project before its public launch. Private sale participants get VAST tokens at a 15% discount, promising significant future returns. Visit our website, read our pitch deck, and join our private sale on pinksale or presale.vastcoin.io. ",8.078965347642133986 , 400 , 800 , BNB , 2023.05.09 18:00 , 2023.05.19 18:00 , 2023-09-14 , 80% , 10% each 3 days , canceled ,0.1, 160 , https://www.vastcoin.io/
 Royalty Holding Token , No , No ," https://royaltyholdingtoken.com/wp-content/uploads/2023/05/Royalty-Holding-Token-Whitepaper1.1.pdf 1% Buy and Sell tax, which is invested to add value to the token. The first of it's kind token that is backed up by real world wealth, and pays dividends to holders ",1.671582692 ," 1,000 "," 2,000 ", BNB , 2023.05.07 20:08 , 2023.05.14 20:09 , 2023-09-14 , 50% , 10% each 7 days , canceled ,0.1, 100 , https://royaltyholdingtoken.com/
 pepeeconomytoken , No , No ," Introducing PepeEconomyToken (PET) - a straightforward, no-nonsense approach to cryptocurrency. 🤑 No Taxes, No Bullshit 🤑 - it's as simple as that. You will get 100% bonus of the pre-sale price, so that means you already 2X when we fund liquidity pool. ✅ 0% Buy Fee and Sell ✅ No Team Tokens ✅ Renounced Contract. Expect more DexTools ads, a fast-track to CoinMarketCap and CoinGecko listings, and much more🚀 ",13.587693902582095901 , 10 , 20 , BNB , 2023.05.06 07:45 , 2023.05.07 07:45 , 2023-09-14 , 80% , 20% each 3 days , ended ,0.1, 5 , https://pepeeconomytoken.com/
 The Great Royal Sale , No , No ," King Charles Coin was an idea started between a group of crypto enthusiasts as a celebration of the King's coronation the weekend of May 6th. We wanted to bring our new monarch to life through caricatures emblazoned across a new token, this token through its sale will also enable a donation to His Majesties charities as our way of giving back as a project and support the new King as he starts his tenure. Total Supply: 1,000,000,000 Amount Available: 250,000,000 ",5.449939906 , 230 , 459 , BNB , 2023.05.05 19:00 , 2023.05.06 20:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.05, 10 , http://kingcharles-coin.com/
 SOLC Private Sale , No , No ," Solana Classic ($SOLC) is the #1 Solana blockchain support token, directly contributing to the success of $SOL with the development of a Binance Smart Chain token that will directly purchase & automatically distribute dividends in Solana ($SOL), while unlocking the capability to compound the Solana Coin. ",6.401006735141575832 , 30 , 60 , BNB , 2023.05.19 03:26 , 2023.06.09 04:07 , 2023-09-14 , 55% , 15% each 5 days , ended ,0.1, 10 , https://www.solanaclassicerc.com/
 Bearium - Tokenized Shares for Bearproof , Yes , No ," 🐻 Bearium 🐻 - Tokenized 'shares' for Bearproof.io, advanced automated trading platform (Trading Robot🤖) that leverages Money Management and Technical Analysis as the core of the platform. ✅DOXX ✅KYC ✅SAFU ✅AUDIT. 🕹Proven MVP 🔥Solid & Transparent token burning mechanism 💰10% Private Sale BONUS 1BNB = 52.132,70 💎Free Bearproof.io subscription for 3 BNB++ purchase during Private Sale. 🔖CMC&CG fast track 🎙Broad marketing 🏦CEX partnering. ",0 , 50 , 100 , BNB , 2023.04.30 12:00 , 2023.05.04 23:59 , 2023-09-14 , 95% , 5% each 7 days , canceled ,0.1, 10 , https://bearium.bearproof.io/
 QUARKS AI and Metaverse , No , No ," We are an innovative technological ecosystem, we are creating an Artificial Intelligence called QUARKS that will be your adviser and assistant in all our systems. This AI will be able to advise you on market analysis, it will be able to trade for you with a 70% success rate, it will also have built-in options to create images, videos, create programming code in any language just by describing what you want it to program for you, it will create Apk and web pages. We will have our store of value in gold. ",1.987754906 , 52 , 102 , BNB , 2023.04.26 21:13 , 2023.05.05 20:14 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.1, 14 , https://quarksiaandmetaverse.com/
 The Lamden Realm - Play To Earn , No , No ," The Lamden Realm is an exciting new play-to-earn game that is not like the others. This massive multiplayer online role-playing game (MMORPG) is set in a real-time metaverse where players can immerse themselves in a world of adventure, battling monsters to earn tokens. 🔥 You will get your tokens paid out when the !PRESALE! ends. You are receiving approx. 4x more tokens then the future presale buyers. ",0.1 , 40 , 50 , BNB , 2023.04.29 17:00 , 2023.05.06 17:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.1, 5 , https://thelamdenrealm.com/
 WE COIN PRIVATE SALE , No , No ," Weset is a blockchain-as-a-service platform for tokenizing assets, real estate, fractional ownership, and timeshare business models with web3 technology. Buy now and receive the lowest token price. WECOIN's value is based on the liquidity of the property's rental income, which means that your token is tied to the property's price, and real estate always appreciates in value. Here is the Certik audit. https://skyharbor.certik.com/shared-report/3f9c9f60-2a8d-4758-a95a-ea0df116c26d?findingIndex=WEC-01 ",0.99 , 500 ," 1,000 ", BNB , 2023.04.27 00:00 , 2023.05.15 23:59 , 2023-09-14 , 30% , 20% each 30 days , canceled ,0.1, 100 , http://weset.io/
